Email Address,Golf Day 15/11/13,IML Breakfast 13/3/14,WCM 4-5/6/14,Investment Forum 4/6/14,Midwinter Art Event 6/8/14,Womens Forum 20/08/14,Kapstream 27/08/14,Forum - Point 23/10/14,WCM 5-6/11/14,Golf Day 10/11/14,Albury Dinner 13/11/14,Womens Forum 12/11/14,,Total Cost
413,,,,,,,,,,,,,, $-   
414,,,,,,,,,,,,,, $-   
415,,,,,,,,,,,,,, $-   
416,,,,,,,,,,,,,, $-   
417,,,,,,,,,,,,,, $-   
418,,,,,,,,,,,,,, $-   
419,,,,,,,,,,,,,, $-   
420,,,,,,,,,,,,,, $-   
421,,,,Attended,,,,,,,,,, $203.44 
422,,,,,,,,,,,,,, $-   
423,,,,Invited,Invited,,,Invited,,Invited,,,, $-   
424,,,,,,,,,,,,,, $-   
425,,,,,,,,,,,,,, $-   
426,,Accept,Invited 5th,Invited,,,,,,,,,, $-   
427,,,,Invited,,,,,,Invited,,,, $-   
428,,,,Attended,,,,,,Invited,,,, $203.44 
429,,,,,,,,,,,,,, $-   
430,,,,,,,,,,,,,, $-   
431,,,,,,,,,,,,,, $-   
432,,,Invited 5th,Invited,,,,,,,,,, $-   
433,,,,,,,,,,,,,, $-   
434,,,,,,,,,,,,,, $-   
435,,,,,,,,,,,,,, $-   
436,,,,,,,,,,,,,, $-   
437,,,,,,,,,,,,,, $-   
438,,,,,,,,,,,,,, $-   
439,,,,,,,,,6th,,,,, $-   
440,,,,,,,,,,,,,, $-   
441,,,,,,,,,,,,,, $-   
442,,,,Attended,,Invited12,,Invited,,,,,, $203.44 
443,,,,,,,,,,,,,, $-   
444,,,,,,,,,,,,,, $-   
445,,,,,,,,Invited,,Invited,,,, $-   
446,,,,Invited,,,,,,,,,, $-   
447,,,,,,,,,,,,,, $-   
448,,,,Invited,,,,Invited,,Invited,,,, $-   
449,,,,,,,,Invited,,,,,, $-   
450,,,,,,,,,,,,,, $-   
451,,,,,,,,,,,,,, $-   
452,,,,,,,,,,,,,, $-   
453,,,,,,,,,,,,,, $-   
454,,,,,,,,,,,,,, $-   
455,,,,,,,,,,,,,, $-   
456,,,,Invited,,,,Invited,,Invited,,,, $-   
457,,,,Invited,,,,,,,Invited,,, $-   
458,,,,Invited,,,,,,,,,, $-   
459,,,,,,,,,,,,,, $-   
460,,,,,,,,Invited,,Reminder,,,, $-   
461,,,,,,,,,,,,,, $-   
462,,,,,,,,,,,,,, $-   
463,,,,Invited,,,,Invited,,,,,, $-   
464,,,,,,,,,,,,,, $-   
465,,,,Attended,Invited,,,Attended,,Attended,,,, $597.36 
466,,,,,,,,,,,,,, $-   
467,,,,,,,,,,,,,, $-   
468,,,,Invited,,Attended,,,,Invited,,,, $7.50 
469,,,,,,,Invited10,,,,,,, $-   
470,,,,,,,,,,,,,, $-   
471,,,,,,,Invite3,Invited,,,,,, $-   
472,,,,Attended,,,,Invited,6th,Invited,,,, $203.44 
473,,,,,,,,,,,,,, $-   
474,,,,,,,,,,,,,, $-   
475,,,,Attended,Invited,Invited19,,Invited,,,,,, $203.44 
476,,,,,,,,,,,,,, $-   
477,Attended,,,Attended,invited2,,,Attended,,Attended,,,, $866.94 
478,,,,,,,,,,,,,, $-   
479,,,,,,,,,,,,,, $-   
480,,,,,invited2,,,Invited,,,,,, $-   
481,,,,,,,,,,,,,, $-   
482,,,,,,,,,,,,,, $-   
483,,,,,,,,,,,,,, $-   
484,,,,,,,,,,,,,, $-   
485,,,,Didn't Show,,,,,,,,,, $-   
486,,,,,,,,,,,,,, $-   
487,,,,,,,,,,,,,, $-   
488,,,,,,,,,,,,,, $-   
489,,,,Attended,,,,,,,,,, $203.44 
490,,,,,,,,,,,,,, $-   
491,,,,,,,,Invited,,,,,, $-   
492,,,,,,,,,,,,,, $-   
493,,,,,,,,,,,,,, $-   
494,,,,,,,,,,,,,, $-   
495,,,,Invited,,,,Attended,,,,,, $204.08 
496,,,,,,,,,,,,,, $-   
497,,,,,,,,,,,,,, $-   
498,,,,Invited,,,,,,,,,, $-   
499,,,,,,,,,,,,,, $-   
500,,,,,,,,,,,,,, $-   
501,,,,Invited,Invited,,Invited12,Invited,,Reminder,,,, $-   
502,,,,Attended,,,,Invited,,,,,, $203.44 
503,,,,,Invited,,,,,Invited,,,, $-   
504,,,,,,,,,,,,,, $-   
505,Attended,,,Attended,Invited,,,Attended,,Attended,,,, $866.94 
506,,,,,,,,,,,,,, $-   
507,,,,,,,,,,,,,, $-   
508,,,,,,,,,,,,,, $-   
509,,,,,,,,,,,,,, $-   
510,,,,,,,,,,,,,, $-   
511,,,,,,,,,,,,,, $-   
512,,,,,,,,,,,,,, $-   
513,,,,,,Attended,,,,,,,, $7.50 
514,,,,,,,,,,,,,, $-   
515,,,,,,,,,,,,,, $-   
516,,,,,,,,,,,,,, $-   
517,,,,Invited,Invited,,,Invited,,,,,, $-   
518,,,,,,,,,,,,,, $-   
519,,,,,,,,,,,,,, $-   
520,,,,Invited,,,,,,,,,, $-   
521,,,,Invited,,,,,6th,,,,, $-   
522,,,,,,,,,,,,,, $-   
523,,,,,,,,,,,,,, $-   
524,,,,Invited,Invited,,,Invited,,Invited,,,, $-   
525,,,,,,,,,,,,,, $-   
526,,,,,,,,,,,,,, $-   
527,,,,Invited,,,,Invited,,,,,, $-   
528,,,Attended,,Invited,,,,,,,,, $33.33 
529,,Attended,Invited 5th,Invited,,,Invited10,Invited,5th,,,,, $50.00 
530,,,,,,,,,,,,,, $-   
531,,,,,,,,,,,,,, $-   
532,,,,Attended,,,Invited10,Invited,,,,,, $203.44 
533,,,,,,,,,6th,,,,, $-   
534,,,,,,,,Invited,,Invited,,Invited,, $-   
535,,,,,,,,,,,,,, $-   
536,,,,,,,,,,,,,, $-   
537,,,Attended,Attended,Invited,,,,,Attended,,,, $426.62 
538,,,Invited 4th/5th,Invited,,,,,Attended,,,,, $31.25 
539,,,Attended,Attended,,,,,,Invited,,,, $236.77 
540,,,Invited 5th,,,,,,,,,,, $-   
541,,,,Invited,,,,,,,,,, $-   
542,,,,Invited,,,,,,,,,, $-   
543,,,,Invited,,,,Invited,,,,,, $-   
544,,,,Invited,,,,Invited,,,,,, $-   
545,,,,Invited,,,,Invited,,,,,, $-   
546,,,,Invited,,,,Invited,,Invited,,,, $-   
547,,,,Invited,,,,Invited,,,,Invited,, $-   
548,,,,Invited,,,,,,,,,, $-   
549,,,,Didn't Show,,,Invited10,Invited,,Invited,,,, $-   
550,,,,Attended,,,,,,,,,, $203.44 
551,,,,Invited,,,,,,,,,, $-   
552,,,,Invited,,,,,,,,,, $-   
553,,,,Invited,,Attended,,,,,,,, $7.50 
554,,,,Invited,,,,,,,,,, $-   
555,,,,Attended,,,,,,,,,, $203.44 
556,,,,Invited,,,,Invited,,,,,, $-   
557,,,,Invited,,,,,,,,,, $-   
558,,,,Invited,,,,,,,,,, $-   
559,,,,Invited,,,,,,,,,, $-   
560,,,,Attended,,,,Invited,,,,,, $203.44 
561,,,,Invited,invited2.1,,,Invited,,,,,, $-   
562,,,,Attended,Invited,,,Invited,6th,,,,, $203.44 
563,,,,Invited,,,,,,,,,, $-   
564,,,,Invited,,,,,,,,,, $-   
565,,,,Invited,Invited,,,,,,,,, $-   
566,,,,Invited,,,Invite3,,,Invited,,,, $-   
567,,,,Attended,,,,Invited,,Invited,,,, $203.44 
568,,,,Invited,,,,,,,,,, $-   
569,,,,Invited,,,,Invited,,Invited,,,, $-   
570,,,,Invited,,,,,,,,,, $-   
571,,,,Attended,,,,Invited,,,,,, $203.44 
572,,,,Invited,,,,,,Invited,,,, $-   
